Replicate Name,Peptide Note,Total Area MS1,Peptide Retention Time
EJ08r1,2-2_H3_9_17_K9K14_met1/ac,921679872,40.2
EJ08r2,2-2_H3_9_17_K9K14_met1/ac,918705664,40.22
EJ08r3,2-2_H3_9_17_K9K14_met1/ac,912484224,40.34
EJ09r1,2-2_H3_9_17_K9K14_met1/ac,723582464,40.5
EJ09r2,2-2_H3_9_17_K9K14_met1/ac,737385408,40.52
EJ09r3,2-2_H3_9_17_K9K14_met1/ac,753727360,40.58
EJ10r1,2-2_H3_9_17_K9K14_met1/ac,768677312,40.79
EJ10r2,2-2_H3_9_17_K9K14_met1/ac,797495168,40.96
EJ10r3,2-2_H3_9_17_K9K14_met1/ac,735577152,40.84
blank_00,2-3_H3_9_17_K9K14_m1p,0,42.2
blank_01,2-3_H3_9_17_K9K14_m1p,0,42.2
QC_pre01,2-3_H3_9_17_K9K14_m1p,697361728,42.7
QC_pre02,2-3_H3_9_17_K9K14_m1p,612525248,42.56
QC_pre03,2-3_H3_9_17_K9K14_m1p,517211872,42.27
QC_00,2-3_H3_9_17_K9K14_m1p,168882448,41.87
QC_01,2-3_H3_9_17_K9K14_m1p,649430208,42.58
QC_02,2-3_H3_9_17_K9K14_m1p,542227264,42.19
QC_03,2-3_H3_9_17_K9K14_m1p,633480384,42.31
QC_05,2-3_H3_9_17_K9K14_m1p,645853696,42.11
QC_04,2-3_H3_9_17_K9K14_m1p,636580992,42.27
IM01r1,2-3_H3_9_17_K9K14_m1p,79632384,42.37
IM01r2,2-3_H3_9_17_K9K14_m1p,80412328,42.42
IM01r3,2-3_H3_9_17_K9K14_m1p,86446072,41.92
IM02r1,2-3_H3_9_17_K9K14_m1p,697232640,42.29
IM02r2,2-3_H3_9_17_K9K14_m1p,673598464,42.32
IM02r3,2-3_H3_9_17_K9K14_m1p,618551744,41.9
IM03r1,2-3_H3_9_17_K9K14_m1p,216160832,42.52
IM03r2,2-3_H3_9_17_K9K14_m1p,207489312,42.33
IM03r3,2-3_H3_9_17_K9K14_m1p,209572208,42.52
IM04r1,2-3_H3_9_17_K9K14_m1p,419561888,42.79
IM04r2,2-3_H3_9_17_K9K14_m1p,420608736,42.52
IM04r3,2-3_H3_9_17_K9K14_m1p,411829248,42.24
IM05r1,2-3_H3_9_17_K9K14_m1p,419783264,42.17
